id,outcome_name,probability
00a59cb0b1f6e006fe21c893f43caafe,Los Angeles Angels,0.47619047619047616
00a59cb0b1f6e006fe21c893f43caafe,Tampa Bay Rays,0.574468085106383
269bd9b61abd0ea54ac37d0e78e4fc46,Chicago White Sox,0.18181818181818182
269bd9b61abd0ea54ac37d0e78e4fc46,Cleveland Guardians,0.875
33840edd610451b693e76f7186e6a086,Atlanta Braves,0.6875
33840edd610451b693e76f7186e6a086,New York Mets,0.37037037037037035
39fb014f345a723482084e5aca2bc5d4,San Francisco Giants,0.6875
39fb014f345a723482084e5aca2bc5d4,Washington Nationals,0.37037037037037035
401b617b15cef11bbfb9a52cb92c856d,Cincinnati Reds,0.6078431372549019
401b617b15cef11bbfb9a52cb92c856d,Milwaukee Brewers,0.43478260869565216
6405754c8dc94d07532f8c89275efca8,Houston Astros,0.47619047619047616
6405754c8dc94d07532f8c89275efca8,Texas Rangers,0.574468085106383
7d584f5a2dea3c913e37536fe1fdcab5,Chicago Cubs,0.46511627906976744
7d584f5a2dea3c913e37536fe1fdcab5,San Diego Padres,0.574468085106383
81db340a7510640e8ed1bbb621611484,San Francisco Giants,0.6296296296296297
81db340a7510640e8ed1bbb621611484,Washington Nationals,0.4166666666666667
82d7fc73685b3efb7688b894c48bdd78,Cincinnati Reds,0.5238095238095238
82d7fc73685b3efb7688b894c48bdd78,Milwaukee Brewers,0.5238095238095238
82e5f2045de7e6c38e1da3aa31b60039,Los Angeles Dodgers,0.6363636363636364
82e5f2045de7e6c38e1da3aa31b60039,Minnesota Twins,0.40816326530612246
9203091bebb23e275c8842794604078d,Atlanta Braves,0.6551724137931034
9203091bebb23e275c8842794604078d,New York Mets,0.39215686274509803
9ba20b06d3d326b4397373d58269bf1f,Seattle Mariners,0.5
9ba20b06d3d326b4397373d58269bf1f,Toronto Blue Jays,0.5454545454545454
9e7ab70be858b0fb1f713c4d4679158b,Detroit Tigers,0.47619047619047616
9e7ab70be858b0fb1f713c4d4679158b,Pittsburgh Pirates,0.574468085106383
b426f150a2bf13712a4bb0fdf9ca1f25,Miami Marlins,0.425531914893617
b426f150a2bf13712a4bb0fdf9ca1f25,New York Yankees,0.6226415094339622
c163b5f5f4579c8293266956ccf3d9bd,Los Angeles Angels,0.45454545454545453
c163b5f5f4579c8293266956ccf3d9bd,Tampa Bay Rays,0.5918367346938775
c47090b313f914cbd2518a9cfedd478b,Los Angeles Dodgers,0.5555555555555556
c47090b313f914cbd2518a9cfedd478b,Minnesota Twins,0.4878048780487805
d5a79b3f863d1b41ca5b9996daade0b0,Arizona Diamondbacks,0.6363636363636364
d5a79b3f863d1b41ca5b9996daade0b0,Colorado Rockies,0.40816326530612246
e3d0e60421b2efa13e08a6b04526d11b,Arizona Diamondbacks,0.6666666666666666
e3d0e60421b2efa13e08a6b04526d11b,Colorado Rockies,0.38461538461538464
e58f40b4532f688304e8e71920498851,Philadelphia Phillies,0.574468085106383
e58f40b4532f688304e8e71920498851,St. Louis Cardinals,0.47619047619047616
ec5c7c51c4d7d0e4000f74518a58dc4b,Houston Astros,0.5555555555555556
ec5c7c51c4d7d0e4000f74518a58dc4b,Kansas City Royals,0.4878048780487805
edbf77a61511a18abd0f24a13c82ee44,Philadelphia Phillies,0.5238095238095238
edbf77a61511a18abd0f24a13c82ee44,St. Louis Cardinals,0.5238095238095238
